kW,perc
0.0641778,0.0641778
0.057,0.057
0.0558555,0.0558555
0.063922267,0.063922267
0.102655633,0.102655633
0.096811033,0.096811033
0.081922267,0.081922267
0.0878,0.0878
0.095322167,0.095322167
0.092588933,0.092588933
0.0885556,0.0885556
0.1059554,0.1059554
0.106377833,0.106377833
0.102444467,0.102444467
0.088488933,0.088488933
0.092677733,0.092677733
0.1142222,0.1142222
0.154711133,0.154711133
0.1608334,0.1608334
0.1359,0.1359
0.1435111,0.1435111
0.114411067,0.114411067
0.0894999,0.0894999
0.0710223,0.0710223
